City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
416,Dumai,ID,76.42,scattered clouds,1.6833,101.45,Grand Zuri Dumai
420,Tiznit,MA,77.38,clear sky,29.5833,-9.5,
421,Saint-Joseph,RE,73.76,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
425,Saint-Denis,FR,72.37,broken clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
429,Buala,SB,79.23,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
432,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
436,Mercedes,AR,71.19,clear sky,-34.6515,-59.4307,Posada del Inti Centro
437,Offa,NG,78.94,overcast clouds,8.15,4.7167,Adlag Hotel
438,Isangel,VU,70.75,scattered clouds,-19.55,169.2667,Tanna Lodge
440,Tukrah,LY,80.26,clear sky,32.5341,20.5791,Lagrota restaurant
450,Arteche,PH,76.23,light rain,12.2645,125.4048,Sityo kawilan Barangay Garden
452,Martapura,ID,77.09,mist,-3.4167,114.85,Montana Hotel Syariah
453,Purgstall,AT,80.83,overcast clouds,48.0584,15.1348,Gasthof Teufl
458,Kailua,US,78.78,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
460,Port Blair,IN,77.74,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
463,Saint Anthony,US,72.93,light rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
468,Magan,ES,78.75,broken clouds,39.9683,-3.931,Hotel Pattaya
470,Praia Da Vitoria,PT,77.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
472,Hennef,DE,70.18,scattered clouds,50.7756,7.2831,EURO PARK HOTEL Hennef
477,Fukue,JP,78.78,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
480,Santa Rosa,PH,80.58,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
484,Ilhabela,BR,69.58,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
485,Buluang,PH,75.0,light rain,13.3068,123.3425,Enon Beach Resort
489,Mayskiy,RU,71.01,few clouds,47.6931,40.1025,Dio Lakrua
490,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
494,Sung Noen,TH,76.41,moderate rain,14.8992,101.8207,Ploynamkang Resort
495,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
504,Aljezur,PT,75.6,clear sky,37.3191,-8.8033,Amazigh Hostel
505,Mastic Beach,US,76.19,broken clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
509,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
510,Margate,GB,73.85,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
511,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
512,San Pedro,PH,79.83,moderate rain,14.35,121.0167,Villa Veronica Resort Private Pool
516,Taitung,TW,80.2,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
520,Garachine,PA,80.64,overcast clouds,8.0647,-78.3628,
529,Chateau-Thierry,FR,69.37,broken clouds,49.05,3.4,Hôtel Restaurant Campanile Château Thierry
537,Gombong,ID,77.34,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
539,Qingyuan,CN,78.78,light rain,23.7,113.0333,Guojin Commercial Hotel
542,Huilong,CN,74.98,light rain,31.8111,121.655,Hilton Garden Inn Qidong
548,Folkestone,GB,73.87,scattered clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
552,Gueugnon,FR,76.08,broken clouds,46.6036,4.0629,Contact Hôtel Restaurant Saint-Benoit
560,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
561,Kerema,PG,76.96,overcast clouds,-7.9631,145.7785,Frena Lodge
563,Poso,ID,74.68,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
566,Ambanja,MG,77.72,light rain,-13.6833,48.45,Hotel Salama and Fast Food
568,Larap,PH,77.5,moderate rain,14.299,122.6504,Montemayor Cove
570,Ternate,ID,80.1,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
575,Meadow Lake,US,74.43,clear sky,34.8014,-106.5436,TumbleWeed RV Park
578,Korla,CN,77.0,overcast clouds,41.7597,86.1469,Gulisitan Hotel
581,Mahishadal,IN,80.56,broken clouds,22.1833,87.9833,Mishra machinery
583,Fergus Falls,US,71.06,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
584,Watsa,CD,71.8,light rain,3.0372,29.5355,Hôtel Le Pacifique
590,El Reno,US,79.48,clear sky,35.5323,-97.955,Home2 Suites by Hilton El Reno
592,Matara,LK,80.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
598,Kloulklubed,PW,79.3,moderate rain,7.0419,134.2556,Storyboard Beach Resort
601,Meulaboh,ID,78.69,overcast clouds,4.1363,96.1285,Kost Pria
607,Heilbron,ZA,72.21,broken clouds,-27.2812,27.9709,Guest house
611,Laurel,US,79.09,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
613,Yamandu,SL,79.65,light rain,7.9362,-11.4928,
615,Bunawan,PH,72.25,overcast clouds,8.1667,126.0833,
616,Victor Harbor,AU,72.72,broken clouds,-35.5667,138.6167,McCracken Country Club
618,Kawardha,IN,73.45,overcast clouds,22.0167,81.25,STARiHOTELS Raipur Road kawardha
620,Sopelana,ES,71.49,broken clouds,43.3789,-2.9831,Hotel Modus Vivendi
623,Kawalu,ID,73.13,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
624,Bandrele,YT,76.75,overcast clouds,-12.9067,45.1914,Les Baobabs
630,Auchel,FR,73.62,overcast clouds,50.5034,2.4735,Gîte d’étape du Presbytère
634,Owings Mills,US,78.15,overcast clouds,39.4196,-76.7803,Hampton Inn Baltimore/Owings Mills
639,Kadirli,TR,77.02,scattered clouds,37.3739,36.0961,Karatepe Park Otel
641,Lincoln,US,76.12,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
642,Mayo,US,80.28,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
645,Jingdezhen,CN,70.9,light rain,29.2947,117.2079,Garden Hotel
647,Owando,CG,79.2,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
649,Sainte-Maxime,FR,79.72,broken clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
650,Katsuura,JP,69.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
651,Zabol,AF,76.57,clear sky,32.25,67.25,
652,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
653,Hirado,JP,77.22,light rain,33.3597,129.5531,Samson Hotel
666,Horodnytsya,UA,69.53,overcast clouds,50.807,27.3168,
668,Naze,JP,78.64,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
670,Teloes,PT,78.57,clear sky,41.3105,-8.111,Casa do Lago
672,Luzhou,CN,69.71,light rain,28.8724,105.4405,Shijichun Hotel
673,Macae,BR,76.75,broken clouds,-22.3708,-41.7869,Personal Hotel
675,Muros,ES,76.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
680,Kisangani,CD,77.56,overcast clouds,0.5167,25.2,Grand Ramela Hotel
