City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Fortuna,US,40.5982,-124.1573,43.72,100,1,0.0,clear sky
81,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,64,67,4.63,broken clouds
82,New Norfolk,AU,-42.7826,147.0587,44.91,72,98,1.3,overcast clouds
83,Sernovodskoye,RU,43.3158,45.1637,77.56,40,65,6.24,broken clouds
84,Talnakh,RU,69.4865,88.3972,38.53,89,96,5.44,overcast clouds
85,Bredasdorp,ZA,-34.5322,20.0403,61.92,45,94,9.22,overcast clouds
86,Okhotsk,RU,59.3833,143.3,49.37,90,94,10.51,overcast clouds
87,Hearst,CA,49.6835,-83.6665,61.05,62,52,13.18,broken clouds
88,Port Alfred,ZA,-33.5906,26.891,60.67,70,65,18.39,light rain
89,Nouakchott,MR,18.0858,-15.9785,89.53,78,86,12.21,overcast clouds
90,Georgetown,MY,5.4112,100.3354,84.13,81,20,4.61,few clouds
91,Victoria,HK,22.2855,114.1577,85.32,73,81,3.18,light rain
92,Troitsko-Pechorsk,RU,62.7084,56.1964,42.82,78,100,10.85,overcast clouds
93,Ulaangom,MN,49.9811,92.0667,54.21,41,99,1.16,overcast clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,69.76,90,97,5.01,overcast clouds
95,Los Llanos De Aridane,ES,28.6585,-17.9182,76.75,85,20,12.66,few clouds
96,Gelemso,ET,8.8167,40.5167,68.92,63,95,4.45,overcast clouds
97,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,9.22,few clouds
98,General Cepeda,MX,25.3833,-101.45,63.81,64,93,3.91,overcast clouds
99,Karratha,AU,-20.7377,116.8463,72.59,64,16,13.04,few clouds
100,Lompoc,US,34.6391,-120.4579,58.08,90,90,0.0,mist
101,Yellowknife,CA,62.456,-114.3525,36.12,100,40,8.05,scattered clouds
102,Kuching,MY,1.55,110.3333,80.82,83,20,3.44,few clouds
103,Kodiak,US,57.79,-152.4072,50.5,99,100,4.52,moderate rain
104,Cockburn Town,TC,21.4612,-71.1419,84.16,74,40,11.5,scattered clouds
105,Half Moon Bay,US,37.4636,-122.4286,59.11,86,90,10.36,mist
106,Bandarbeyla,SO,9.4942,50.8122,77.85,85,98,32.37,overcast clouds
107,Hermanus,ZA,-34.4187,19.2345,61.81,61,100,8.41,overcast clouds
108,Beyneu,KZ,45.3167,55.2,81.18,26,0,2.66,clear sky
109,San Francisco Menendez,SV,13.8431,-90.0158,82.47,69,70,2.19,broken clouds
110,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,90,10.36,overcast clouds
111,Lagoa,PT,39.05,-27.9833,71.76,77,14,9.46,few clouds
112,Thinadhoo,MV,0.5333,72.9333,83.35,73,93,12.15,overcast clouds
113,Asyut,EG,27.181,31.1837,90.25,21,0,20.0,clear sky
114,Torbay,CA,47.6666,-52.7314,66.76,73,90,25.32,overcast clouds
115,Jamestown,US,42.097,-79.2353,69.03,90,1,5.01,clear sky
116,Komarov,CZ,49.8065,13.8564,68.67,85,100,5.44,overcast clouds
117,Boda,CF,4.3189,17.4695,78.57,74,97,4.83,overcast clouds
118,Maceio,BR,-9.6658,-35.7353,87.24,62,75,12.66,broken clouds
119,Sarakhs,IR,36.5449,61.1577,96.94,11,0,6.91,clear sky
120,Punta Alta,AR,-38.8759,-62.0736,65.23,35,0,13.91,clear sky
121,Mar Del Plata,AR,-38.0023,-57.5575,66.22,45,0,9.22,clear sky
122,Labuhan,ID,-6.8844,112.2051,80.44,79,100,5.1,overcast clouds
123,Nishihara,JP,26.1842,127.7558,81.68,89,20,9.22,few clouds
124,Severo-Kurilsk,RU,50.6789,156.125,48.52,82,1,8.41,clear sky
125,Ancud,CL,-41.8697,-73.8203,51.42,94,100,14.76,light rain
126,Nhlangano,SZ,-27.1167,31.2,55.35,95,99,3.13,heavy intensity rain
127,Clyde River,CA,70.4692,-68.5914,32.23,69,90,12.66,overcast clouds
128,Zambezi,ZM,-13.5432,23.1047,99.39,11,12,6.02,few clouds
129,Bereda,ES,43.2686,-7.5406,73.42,41,3,4.12,clear sky
130,Tari,NG,12.4086,4.4914,91.02,53,91,8.21,overcast clouds
131,Vanimo,PG,-2.6741,141.3028,75.27,94,100,7.49,moderate rain
132,Dossor,KZ,47.5272,52.9811,69.53,20,90,10.31,overcast clouds
133,Luoyang,CN,34.6836,112.4536,70.75,84,100,7.38,light rain
134,Angoche,MZ,-16.2325,39.9086,77.95,79,5,16.08,clear sky
135,Mwene-Ditu,CD,-7.0,23.45,86.25,40,100,6.96,overcast clouds
136,Amahai,ID,-3.3333,128.9167,77.14,89,98,4.43,overcast clouds
137,Tabou,CI,4.423,-7.3528,80.22,80,92,11.7,light rain
138,Pitimbu,BR,-7.4706,-34.8086,84.79,68,8,15.79,clear sky
139,Mecca,SA,21.4267,39.8261,92.35,23,92,17.11,overcast clouds
140,Avarua,CK,-21.2078,-159.775,75.25,83,40,19.57,scattered clouds
141,Saposoa,PE,-6.934,-76.7716,79.41,59,70,2.44,broken clouds
142,Miyakonojo,JP,31.7333,131.0667,73.24,99,76,3.74,broken clouds
143,East London,ZA,-33.0153,27.9116,61.74,77,40,14.97,light rain
144,Takhli,TH,15.2634,100.3438,77.99,90,100,5.95,overcast clouds
145,Korem,ET,12.5058,39.5228,64.02,56,85,6.46,overcast clouds
146,Tiksi,RU,71.6872,128.8694,42.4,72,100,4.0,overcast clouds
147,Ponta Do Sol,PT,32.6667,-17.1,79.43,73,31,3.44,scattered clouds
148,Milledgeville,US,33.0801,-83.2321,73.29,98,100,6.6,overcast clouds
149,Kitami,JP,43.8031,143.8908,52.39,83,100,7.31,overcast clouds
150,Kabompo,ZM,-13.5927,24.2008,97.84,12,11,4.18,few clouds
151,Ibra,OM,22.6906,58.5334,88.41,31,93,8.68,overcast clouds
152,Shimoda,JP,34.6667,138.95,72.01,85,95,11.03,overcast clouds
153,Bartica,GY,6.4,-58.6167,89.92,47,1,3.58,clear sky
154,Komarno,SK,47.7636,18.1226,84.09,35,99,8.43,overcast clouds
155,El Dorado,US,38.7666,-120.5177,70.68,37,0,3.0,clear sky
156,Amapa,BR,1.0,-52.0,93.04,41,3,4.34,clear sky
157,Sao Filipe,CV,14.8961,-24.4956,81.09,77,87,8.05,overcast clouds
158,Conceicao Das Alagoas,BR,-19.9147,-48.3883,92.98,15,8,4.59,clear sky
159,Tessalit,ML,20.1986,1.0114,105.49,11,23,3.33,few clouds
160,Chokurdakh,RU,70.6333,147.9167,35.04,89,87,8.03,overcast clouds
161,Leningradskiy,RU,69.3833,178.4167,23.11,91,78,7.45,broken clouds
162,Alice Springs,AU,-23.7,133.8833,83.75,17,36,14.97,light rain
163,Hualmay,PE,-11.0964,-77.6139,64.47,73,42,8.05,scattered clouds
164,Richards Bay,ZA,-28.783,32.0377,64.74,87,100,5.86,light rain
165,Jinka,ET,5.65,36.65,74.59,56,82,1.68,broken clouds
166,Astana,KZ,51.1801,71.446,71.55,26,20,13.42,few clouds
167,Dikson,RU,73.5069,80.5464,36.43,85,100,21.74,overcast clouds
168,Plouzane,FR,48.3833,-4.6167,69.89,64,75,4.61,broken clouds
169,Svetlaya,RU,46.5389,138.3297,56.91,88,100,12.57,light rain
170,Kampong Thum,KH,12.7111,104.8887,77.88,88,100,4.68,overcast clouds
171,Ucluelet,CA,48.9329,-125.5528,42.1,75,5,5.82,clear sky
